epoch,train_loss,train_acc,train_prec,train_rec,train_f1,train_auc,train_ap,val_loss,val_acc,val_prec,val_rec,val_f1,val_auc,val_ap,epoch_time
1,0.18732899210428236,0.9275791193137831,0.9061339093667374,0.9538577751091915,0.9293835902100622,0.9769488699374009,0.9723888342004469,0.11153088339905101,0.960378346735681,0.9487640449438203,0.9734989393426999,0.9609723528876211,0.9910318320555883,0.9890606985950994,19.533711433410645
2,0.10413291343312975,0.963776011829189,0.9551452892668814,0.9731994305581112,0.9640878438987326,0.9920100134167144,0.9902390453970534,0.09693006162099012,0.9661244107588501,0.967620574811891,0.9646755003535524,0.9661457932414749,0.9936915096067661,0.9926080707356221,19.67453169822693
3,0.08816257511727316,0.9695357740067507,0.9630240864897904,0.9765192380325202,0.9697247132931022,0.9942265570559441,0.9930866527156945,0.08576303620742062,0.969698370151277,0.9639863962103729,0.9759891782211702,0.9699506561359018,0.9948008971788423,0.9940630887450568,19.21024799346924
4,0.07945525670380743,0.9725414563527699,0.9669216017271276,0.9785161583978152,0.9726843290356678,0.995331527342239,0.9945193750759491,0.08212323199341616,0.9708999599470068,0.9712668430443611,0.9706397761859379,0.9709532083711346,0.995317425246892,0.9946539332414783,19.293619394302368
5,0.07373750453363734,0.9747352367386121,0.969701441337506,0.9800540388731248,0.9748502555625553,0.9959386276684419,0.9952615184572747,0.07393703633171367,0.9737960994546631,0.9718361599216311,0.9759891782211702,0.9739082416823892,0.9961170217551139,0.9956171206242541,19.793882608413696
6,0.06931579686930092,0.9761713064750874,0.971381785201363,0.9812142282997124,0.9762732507496512,0.9963986045361183,0.9958370573576361,0.07351974204299956,0.9741658193918107,0.9753173918402563,0.9730685276846928,0.9741916619215439,0.9962802978306511,0.9957942529080266,19.596555948257446
7,0.06659204084767512,0.9774428668751742,0.9729807520718723,0.9821245605709914,0.9775312740374884,0.9966642095833909,0.996154866636944,0.07063037121859123,0.9756446991404012,0.9723426338604311,0.9792480093460817,0.9757831048479741,0.9964737067471126,0.9959870494480666,19.104418992996216
8,0.06415835450439833,0.97808445328709,0.9738250549990594,0.9825448629175181,0.9781655262708817,0.9968957624701034,0.9964352285807732,0.07061924703243211,0.9749514742582494,0.9711523800811148,0.9790942908967935,0.9751071647274954,0.9964428951851511,0.9960849208237894,19.22829532623291
9,0.06264884533557105,0.9786089477595764,0.974509254173884,0.9828954376858191,0.9786843813070557,0.9970449225131315,0.9966220167744764,0.0675815713159212,0.9761992790461226,0.9762358583374323,0.976265871429889,0.9762508646529858,0.9968800855101934,0.9965014735779812,19.20781946182251
10,0.06105985476415366,0.9791556993775741,0.9749268058555316,0.983575281573519,0.9792319484751777,0.9971869060969978,0.9967845143019254,0.06596356061265224,0.9767384539544628,0.9731230360901797,0.9806622190795339,0.976878081646403,0.9968965157802373,0.9965661801578785,19.17623209953308
11,0.05992314611562058,0.9796066484996748,0.9755457693393536,0.9838445075005569,0.979677564316449,0.9972762238250527,0.9968866524239075,0.06571488792267371,0.9772776288628031,0.9755865956012988,0.9791557782765088,0.9773679284366226,0.9969587782308996,0.9966498325771149,19.512190103530884
12,0.05895414602042809,0.9797392236707646,0.975776924879653,0.9838716237809779,0.9798075559880526,0.997369656306005,0.9969923219743559,0.06880075059185817,0.9755676741534954,0.9671749962252756,0.9846588987610293,0.9758386398951892,0.9967499400392679,0.9964061997607058,19.386512756347656
13,0.0580294436510835,0.9801592063295451,0.9762596396583325,0.984222198549279,0.9802247490116233,0.9974688633783515,0.997143599439167,0.06485709882392658,0.9774162738392335,0.9702364731886033,0.9851507977987518,0.9776367574823809,0.9969723934698421,0.9966526349044744,19.074822902679443
14,0.05711136501671773,0.9804669355587898,0.9764918764622944,0.9846076371066929,0.9805329637634406,0.997521804838201,0.9971788241702244,0.06731467246715947,0.9768770989308931,0.9685574483508518,0.9858579026654779,0.977131103831797,0.996811401788958,0.9964019575217126,19.20331311225891
15,0.05612626491799958,0.9808249852909299,0.9769333630488076,0.9848749261565578,0.9808880705487241,0.9976164956688256,0.9973052783939902,0.06445258621155746,0.9773392488523277,0.977902252862243,0.9768500015371845,0.9773758439840662,0.9971364398700259,0.9968384696298933,19.119053840637207
16,0.05580710443294892,0.9808453070324838,0.9771451306308298,0.984692859702302,0.9809044760741593,0.9976353147251757,0.9973476203430128,0.06379092961373761,0.9778168037711433,0.9713722517058377,0.9847511298306023,0.9780159384446276,0.9970631612548282,0.9966836294182209,19.401092290878296
17,0.055128646409300486,0.9810814263153005,0.977475061469225,0.9848284411044074,0.981137973552641,0.9977065906559313,0.9974018653100158,0.06294285082148285,0.9777089687894753,0.972915398660986,0.9828757647492852,0.9778702188508418,0.9970663099508872,0.99671816734738,19.132339477539062
18,0.0546494531018522,0.9813649629950764,0.9776419170331191,0.9852332484335505,0.9814229031669912,0.9977308880959157,0.9974451471847557,0.06308017021382419,0.9775549188156638,0.9736858153433345,0.9817382482245519,0.9776954518316673,0.997156939618515,0.9968650519850958,19.491212129592896
19,0.05393827642642105,0.9814443145573344,0.9777262261242595,0.985306849766122,0.9815019009389413,0.9977940612259908,0.9975002381050853,0.06220337754394126,0.9780016637397172,0.9747214165776218,0.981553786085406,0.9781256701694188,0.997243990575217,0.9969130855941624,19.175056219100952
20,0.05382609860847025,0.9815807605363391,0.9779177567147281,0.9853843248530394,0.981636842856757,0.9978010222722244,0.9975138038828593,0.06140109263067171,0.9781403087161475,0.975105382124748,0.9814308113259753,0.9782578717536198,0.9973094273519636,0.997127591874904,19.061166286468506
21,0.053463400781169394,0.9816910785619174,0.978155997823483,0.9853591454497913,0.9817443592771847,0.9978287729940633,0.9975439892713205,0.061146625735628325,0.9785100286532952,0.9726135535584163,0.9848433609001752,0.9786902525090508,0.9973283195283168,0.9970983330343917,19.092504501342773
22,0.053164815366888114,0.9817404313628341,0.9783273457393205,0.985279733485701,0.9817912317287474,0.9978640612430618,0.9976127002133037,0.06184425202058995,0.9780632837292418,0.971157633229315,0.9854889783871861,0.9782708212530901,0.9973881086815476,0.9971493898955176,19.482279539108276
23,0.05284241790993489,0.9819504226922243,0.9784780405632785,0.9855508962899118,0.9820017330520823,0.9978682068519095,0.9976033295976332,0.06400468313377204,0.9779708537449548,0.9775484505052366,0.9785101607894979,0.9780290692314785,0.9971071532945638,0.996860717546662,19.158661603927612
24,0.05275837997820573,0.9818807481497538,0.9784695390615835,0.9854172517649793,0.9819311058271314,0.9979107215214257,0.997660068303536,0.060239854510726894,0.9791262285485411,0.9770153638979004,0.9814308113259753,0.9792181101516848,0.9973675102099984,0.9971373098763338,19.027288913726807
25,0.05225506922531801,0.9820462251881212,0.9788080158223221,0.9853998198704229,0.9820928569291368,0.997945069290419,0.9977127006284472,0.06217023774277507,0.9787256986166313,0.9784625783458277,0.9790942908967935,0.9787783326930464,0.9972691450210608,0.9970698694939188,19.08521342277527
26,0.052099409470276525,0.9821662202334871,0.9787891260612169,0.9856651720431149,0.9822151151737522,0.9979697622765312,0.9977409330938256,0.06059300899505615,0.9789721785747296,0.9762792688145748,0.9818919666738402,0.9790775739182416,0.9973500661300689,0.9971235379129855,19.06665349006653
27,0.051762627109280014,0.9821400922800607,0.9789354190116117,0.9854579261856109,0.9821858440392653,0.9979908294815114,0.9977664518002762,0.061298632583632245,0.9794497334935454,0.976738499159407,0.9823838657115627,0.9795530486496429,0.997282134222906,0.9970679346082999,19.473466157913208
28,0.05203427839978105,0.9820026785990772,0.9788559344049046,0.9852603647139717,0.9820477080373139,0.9979728753151109,0.9977316354355001,0.061451519480136434,0.9789413685799674,0.97442143727162,0.983798075445015,0.9790873070509584,0.9972602196020999,0.9970698802367196,19.06231451034546
29,0.051656806787061714,0.9821671879354659,0.9789660420486752,0.9854811687116861,0.982212801609226,0.9979910185521671,0.9977495037009194,0.061190293749838365,0.9787102936192501,0.973055074576992,0.9847818735204599,0.9788833542156893,0.9973877797628908,0.9971954851641758,19.03787088394165
30,0.05168800590972224,0.9823326649738333,0.9790743220365069,0.9857058464637465,0.9823788928921992,0.9979823231655337,0.9977451472107812,0.06069083109967352,0.9786178636349632,0.9748680879616921,0.9826605589202816,0.9787488134243807,0.9974139062511715,0.9971776641092029,19.330918788909912
31,0.05127199857766496,0.9823123432322795,0.979244974354533,0.985485042466032,0.9823550990462216,0.9980185228328207,0.997803887201941,0.060166890989607716,0.9789875835721108,0.9802138872623046,0.9778030559227718,0.9790069874103488,0.9975327711885984,0.9973724353062688,19.565799236297607
32,0.0511083736537839,0.9825281407735422,0.979371921182266,0.9857930059365285,0.982571973261903,0.9980298121588743,0.9978115032788775,0.05947856631452643,0.979002988569492,0.9811338232569629,0.9768807452270422,0.9790026651056029,0.9976032210084222,0.9974369213133482,19.018455266952515
