epoch,train_loss,train_acc,train_prec,train_rec,train_f1,train_auc,train_ap,val_loss,val_acc,val_prec,val_rec,val_f1,val_auc,val_ap,epoch_time
1,0.1943168637258337,0.9236415399622209,0.8983816553603567,0.9552135891302453,0.9259263779146887,0.9752113842739656,0.9704093543995764,0.11751933554260749,0.9585759620420865,0.9524748271260464,0.9655055799797092,0.9589459381059252,0.9902060335929,0.9880157700121472,19.459720611572266
2,0.10746135330173626,0.9625818675874028,0.9534930973585766,0.9725428291964865,0.9629237562385836,0.9915732146325311,0.9896754855703245,0.09536467325382346,0.9666173706750469,0.9605862006189696,0.973314477203554,0.9669084523173246,0.993505947749687,0.9923792576475872,19.349522590637207
3,0.09075071575574913,0.9688051590127892,0.9615175593654717,0.9766509456802797,0.9690251711321821,0.9938955968188238,0.9926275000566627,0.08547609073557252,0.9690975752534122,0.9610283677230295,0.9779875180619177,0.9694337782653745,0.9947365501527966,0.9938572198532668,19.15439486503601
4,0.0814924004343313,0.9720140587743474,0.9655437895336109,0.9789190288497855,0.9721854075337921,0.9950428476346258,0.9940985573508783,0.07864480794180097,0.9720091197584496,0.9645709790632943,0.9801395763519538,0.9722929596364689,0.9955801510411368,0.9950176796064644,19.366098165512085
5,0.07570608608874872,0.9740007509367355,0.9681496615817847,0.9802089890469596,0.9741420048295463,0.9957086100783059,0.9949729263077702,0.07997114296386561,0.9718858797794004,0.9629651969358828,0.9816460171549789,0.9722158788155592,0.9956202544364934,0.9950768325335331,18.91745686531067
6,0.0717854843082376,0.9753923063821881,0.9698343357925809,0.9812684608605545,0.9755178943983548,0.9961299285847919,0.995463959102485,0.07477638301417583,0.9741504143944295,0.973565441650548,0.9748824053862944,0.9742234784478785,0.9960917363113637,0.9957710167575798,19.14014482498169
7,0.06936976188676613,0.9763832332084352,0.9711878889127303,0.9818592083982994,0.9764943949654376,0.9963793608550675,0.9957887118188696,0.07335054757088189,0.9740887944049049,0.9734458940905603,0.9748824053862944,0.9741636201652791,0.9962874319956289,0.9959493844269464,18.975178956985474
8,0.06638819637047352,0.9770780432291828,0.9720511179169525,0.9823666702176082,0.9771816709679222,0.996697466510724,0.9962003939196742,0.07010642101797532,0.9755060541639707,0.9727970168413974,0.9784794170996403,0.9756299429832628,0.9964921185978081,0.9961410472539363,19.086443185806274
9,0.06466852652980083,0.977826076858762,0.9730030812534394,0.9828896270543004,0.9779213671524211,0.9968684371445979,0.9964008183501166,0.0699007878094677,0.9757217241273068,0.9728375446851416,0.9788790850677899,0.9758489640799315,0.996486217996451,0.9961130009837118,19.146881818771362
10,0.06349548334352684,0.9781096135385378,0.973502781507769,0.9829399858607967,0.9781986227767097,0.9969784031221867,0.9965362223675467,0.06890270882469463,0.9756755091351634,0.968313056110405,0.9836443569957266,0.9759184980707346,0.9966556785021432,0.9962960141864807,19.121668815612793
11,0.062278451466284336,0.9787037825534946,0.9742063111360122,0.9834125838909925,0.9787877999246243,0.9970505450460273,0.9966098329100002,0.07091342781003065,0.9752441692084912,0.9749907828437999,0.9756202539428782,0.9753054168267384,0.9965373845447222,0.9961866987704575,19.015623331069946
