epoch,train_loss,train_acc,train_prec,train_rec,train_f1,train_auc,val_loss,val_acc,val_prec,val_rec,val_f1,val_auc,epoch_time
1,0.5680003531726721,0.6875841955017133,0.6162463180709318,0.9966260427805422,0.7615818142396321,0.9317847870549141,0.5421731825917959,0.7980369425767061,0.7135430551852839,0.9946732734592754,0.8309746190266746,0.9674116956877403,16.060160636901855
2,0.5363774651000102,0.8058879351832345,0.7222088351163091,0.9950162714298398,0.8369427392736596,0.9725329698316248,0.5330259902402759,0.8246386892340984,0.741329646272612,0.9962836791576339,0.8501023980973772,0.9785748799322833,16.60886549949646
3,0.5291589503236388,0.839005637837096,0.7585032712809772,0.9953424720992268,0.8609314975182438,0.9807286787229342,0.5276666423305869,0.8517659788237113,0.7726137291636643,0.9961907711365748,0.8702721714192954,0.9835494395342624,16.038849115371704
4,0.52572687608434,0.8737081969937978,0.801100875788505,0.9947248140270148,0.8874746855497541,0.9836464559996858,0.5251276567578316,0.8949068707009815,0.8288227857898403,0.9949210281820997,0.9043081730024912,0.9842880685754184,16.053229331970215
5,0.5236170435753585,0.8963049650461831,0.8317126545378198,0.9940125770624955,0.9056486976279181,0.9847565563201808,0.5239341147243977,0.9058814436973491,0.8443965403927548,0.9947352121399814,0.9134212060458701,0.9854852120563581,15.943293809890747
6,0.5224015161793026,0.9087364248343148,0.8497012680630053,0.9934393131642237,0.9159655565472192,0.9853430439477453,0.5229813670739532,0.9225442460777494,0.8696241294273868,0.9938061319293899,0.9275772860632162,0.9858832806131405,15.964885234832764
7,0.521090103363071,0.9195260119405408,0.8658937220832814,0.9930687183208965,0.9251310839872547,0.9862247242043567,0.5219988040626049,0.9300100471442925,0.8810948824950582,0.993899039950449,0.9341036761067613,0.9861283608197181,16.087913036346436
8,0.5201260888199188,0.9292400226518515,0.8809797856269334,0.9927946325513525,0.9335510124073443,0.9867584951577307,0.5217313952744007,0.9334879047839864,0.8866141732283465,0.993837101269743,0.9371687230780463,0.9859191335618624,16.07158589363098
9,0.5192714882710567,0.9333326246576613,0.8875518851235319,0.9925996842223106,0.9371411701781609,0.9871363434095052,0.5201156055554748,0.9425303346471907,0.9019922336653723,0.9927222050170331,0.9451848794008374,0.9869190657552064,16.86945104598999
10,0.5185174223930971,0.9376822826572245,0.8945006470645533,0.9925996842223106,0.9410003751177962,0.9874454540116575,0.520208977162838,0.9432104490300641,0.9032012624697063,0.992598327655621,0.9457920207743153,0.9868557566059286,17.086052179336548
11,0.5178512928511811,0.9433201197533035,0.9040372594335806,0.9921016974015897,0.9460244423176029,0.9878142582368797,0.5198893630877137,0.9440760491537213,0.9037627443249028,0.9937751625890369,0.9466340197061772,0.9873191842806679,15.929996967315674
12,0.5172541746694658,0.9477886419905798,0.9117742055703247,0.9916731971139927,0.9500467837554967,0.9879320979138462,0.5188613682985306,0.9554679650668522,0.9261062331565678,0.9897491483431403,0.9568706118355065,0.9871756296091743,16.390934228897095
